,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
151,RCOM,EQ,2017-12-19,11.8,12.0,13.05,11.85,13.05,12.75,12.41,54839666,680742962.05,29231,8674834,15.82,12,2017,17.81994754969157,0.0805084745762712,Slight or No change
152,RCOM,EQ,2017-12-20,12.75,13.0,18.45,12.9,17.1,17.3,15.33,263393051,4037974058.45,129144,28169715,10.69,12,2017,17.79729822828348,0.3568627450980393,Slight or No change
153,RCOM,EQ,2017-12-21,17.3,18.5,19.6,17.05,18.0,17.95,18.35,353649231,6490926908.65,250889,37604065,10.63,12,2017,17.805735894683387,0.037572254335260125,Slight or No change
154,RCOM,EQ,2017-12-22,17.95,18.45,18.8,15.4,16.3,16.3,17.23,204056290,3515809217.85,116005,26469113,12.97,12,2017,17.759212220965132,-0.09192200557103059,Slight or No change
155,RCOM,EQ,2017-12-26,16.3,16.55,23.2,16.5,23.0,21.5,19.6,490348330,9610507212.6,272951,63398423,12.93,12,2017,18.017758780991205,0.3190184049079754,Slight or No change
156,RCOM,EQ,2017-12-27,21.5,23.65,29.95,23.65,28.6,28.7,27.45,781836478,21461047511.85,586307,70128853,8.97,12,2017,19.078104655150074,0.33488372093023244,Slight or No change
157,RCOM,EQ,2017-12-28,28.7,30.6,34.4,29.25,31.35,30.9,32.32,774653485,25036250776.85,639231,70135068,9.05,12,2017,20.136682657416397,0.0766550522648084,Slight or No change
158,RCOM,EQ,2017-12-29,30.9,33.95,40.15,33.95,36.3,36.15,36.58,685286689,25066618931.0,648577,81671630,11.92,12,2017,21.31205214473872,0.16990291262135915,Slight or No change
159,RCOM,EQ,2018-01-01,36.15,37.25,37.45,33.6,35.1,35.35,35.68,352686945,12584115702.15,329462,30726809,8.71,1,2018,21.823039792969542,-0.022130013831258566,Slight or No change
160,RCOM,EQ,2018-01-02,35.35,35.25,35.45,31.15,32.3,32.4,33.17,285012342,9454117648.35,248814,31619769,11.09,1,2018,22.125279200680616,-0.08345120226308356,Slight or No change
161,RCOM,EQ,2018-01-03,32.4,32.0,32.15,30.1,30.55,30.55,30.84,233379852,7196605254.95,190505,26191379,11.22,1,2018,22.31789885977078,-0.057098765432098686,Slight or No change
162,RCOM,EQ,2018-01-04,30.55,30.5,34.9,28.15,33.9,33.3,31.05,413019383,12823022085.3,331332,36379168,8.81,1,2018,22.744980787688526,0.09001636661211121,Slight or No change
163,RCOM,EQ,2018-01-05,33.3,34.6,36.15,33.35,33.95,34.0,34.87,423033249,14751175426.4,349227,38681515,9.14,1,2018,23.176115483833534,0.021021021021021102,Slight or No change
164,RCOM,EQ,2018-01-08,34.0,34.35,34.8,33.05,33.85,33.9,34.01,145445206,4946364790.1,118750,14418081,9.91,1,2018,23.315515034115936,-0.002941176470588225,Slight or No change
165,RCOM,EQ,2018-01-09,33.9,33.9,33.9,32.35,32.45,32.7,32.95,103648196,3415226567.55,96232,11644451,11.23,1,2018,23.4016496038548,-0.03539823008849541,Slight or No change
166,RCOM,EQ,2018-01-10,32.7,33.3,34.1,32.7,33.3,33.2,33.34,108120944,3605173560.15,96923,10432981,9.65,1,2018,23.49457399619845,0.015290519877675823,Slight or No change
167,RCOM,EQ,2018-01-11,33.2,32.9,33.6,32.25,32.7,32.8,32.82,79351931,2604703594.0,68810,7562120,9.53,1,2018,23.558894341947806,-0.012048192771084487,Slight or No change
168,RCOM,EQ,2018-01-12,32.8,32.7,32.9,30.6,31.2,31.3,31.78,90176118,2865615047.5,79690,12126705,13.45,1,2018,23.619226809341665,-0.0457317073170731,Slight or No change
169,RCOM,EQ,2018-01-15,31.3,31.4,32.1,30.7,31.6,31.55,31.57,68852507,2173847511.6,58249,8246168,11.98,1,2018,23.666142174197926,0.007987220447284393,Slight or No change
170,RCOM,EQ,2018-01-16,31.55,31.65,33.1,30.9,31.25,31.2,31.93,144438289,4612007975.5,116604,11963711,8.28,1,2018,23.75848927331241,-0.011093502377179099,Slight or No change
171,RCOM,EQ,2018-01-17,31.2,31.5,32.95,30.3,32.85,32.35,31.58,111211776,3511663392.6,90535,16970626,15.26,1,2018,23.838816767385115,0.03685897435897445,Slight or No change
172,RCOM,EQ,2018-01-18,32.35,32.95,33.2,27.6,29.0,29.35,30.99,126454099,3918421291.6,116288,23827663,18.84,1,2018,23.896790201068896,-0.09273570324574965,Slight or No change
173,RCOM,EQ,2018-01-19,29.35,28.8,29.95,27.75,29.15,29.45,28.82,120503938,3472387567.8,108947,10972143,9.11,1,2018,23.951904561958887,0.0034071550255536653,Slight or No change
174,RCOM,EQ,2018-01-22,29.45,29.0,29.35,28.3,28.4,28.65,28.82,55758132,1606780972.9,59198,6492323,11.64,1,2018,23.97338087234611,-0.02716468590831922,Slight or No change
175,RCOM,EQ,2018-01-23,28.65,28.4,31.3,28.35,29.15,29.25,29.8,146096411,4353195919.75,110382,10873336,7.44,1,2018,24.035833975746293,0.020942408376963373,Slight or No change
176,RCOM,EQ,2018-01-24,29.25,28.7,29.55,28.6,28.75,28.75,28.92,57890888,1674398359.45,49765,4969518,8.58,1,2018,24.057840008392024,-0.017094017094017144,Slight or No change
177,RCOM,EQ,2018-01-25,28.75,28.9,29.2,28.0,28.35,28.35,28.51,62098714,1770588405.75,48312,8007050,12.89,1,2018,24.079225337197315,-0.013913043478260834,Slight or No change
178,RCOM,EQ,2018-01-29,28.35,28.75,28.85,26.5,27.2,27.2,27.75,108933206,3022866828.75,96858,9049960,8.31,1,2018,24.106264972110807,-0.040564373897707284,Slight or No change
179,RCOM,EQ,2018-01-30,27.2,28.0,32.4,27.4,30.2,30.05,30.54,304197740,9290635610.15,270002,29995113,9.86,1,2018,24.246679064932195,0.10477941176470584,Slight or No change
180,RCOM,EQ,2018-01-31,30.05,30.05,31.05,28.9,29.45,29.45,29.82,117149717,3493788447.0,104362,9514895,8.12,1,2018,24.293591056626273,-0.019966722129783787,Slight or No change
